Family	Total insertion nb	Expressed insertion nb	Nb of read	Nb of multimapped read
Copia_LTR	14	8	223	84
Mariner2_DM	53	5	93	6
HETA	18	8	42	0
QUASIMODO_LTR	79	5	32	0
TAHRE	28	2	28	0
POGO	26	4	22	2
ROO_I	1031	3	8	0
Bica_LTR	15	2	8	0
LINEJ1_DM	116	6	6	3
Bica_I	18	1	6	0
DNAREP1_DM	4192	2	5	0
NOMAD_LTR	13	5	5	0
BARI1	55	1	5	0
G5A_DM	80	1	5	0
TIRANT_LTR	19	2	5	0
MAX_LTR	24	3	5	0
DM1731_LTR	9	1	4	0
BURDOCK_LTR	15	3	3	0
BS3_DM	62	2	3	0
Copia2_I	33	1	3	0
M4DM	85	2	2	0
MICROPIA_I	92	2	2	0
DOC	95	2	2	0
BEL_I	24	2	2	0
Invader6_I	38	1	2	0
Gypsy2_LTR	35	1	2	0
NOMAD_I	53	1	2	0
Gypsy_LTR	67	1	2	0
BLASTOPIA_LTR	9	2	2	0
TART-A	27	1	1	0
FW2_DM	216	1	1	0
BS	76	1	1	0
DM412	69	1	1	0
FB4_DM	249	1	1	0
S_DM	149	1	1	0
G4_DM	62	1	1	0
DMRT1B	124	1	1	0
G5_DM	71	1	1	0
Jockey2	49	1	1	0
DIVER2_I	136	1	1	0
DIVER2_LTR	36	1	1	0
G3_DM	38	1	1	0
NINJA_LTR	21	1	1	0
TOM_I	46	1	1	0
ROOA_LTR	41	1	1	0
BATUMI_LTR	21	1	1	0
BS4_DM	3	1	1	0
IVK_DM	47	0	0	0
DM297_I	66	0	0	0
MDG1_LTR	36	0	0	0
ZAM_I	52	0	0	0
QUASIMODO_I	75	0	0	0
BLASTOPIA_I	40	0	0	0
HOBO	131	0	0	0
IDEFIX_LTR	79	0	0	0
BS2	130	0	0	0
QUASIMODO2-LTR_DM	16	0	0	0
I_DM	121	0	0	0
ROO_LTR	60	0	0	0
IDEFIX_I	84	0	0	0
BLOOD_LTR	13	0	0	0
TRANSPAC_LTR	11	0	0	0
PROTOP_B	406	0	0	0
ACCORD2_I	76	0	0	0
DM297_LTR	79	0	0	0
Gypsy11_I	49	0	0	0
G2_DM	34	0	0	0
TART_B1	48	0	0	0
S2_DM	30	0	0	0
BLOOD_I	8	0	0	0
MDG1_I	56	0	0	0
POGON1	36	0	0	0
NOF_FB	10	0	0	0
DOC6_DM	15	0	0	0
DMRT1A	83	0	0	0
MDG3_LTR	18	0	0	0
PROTOP_A	377	0	0	0
DMCR1A	614	0	0	0
Stalker2_LTR	17	0	0	0
DIVER_LTR	8	0	0	0
Transib-N1_DM	65	0	0	0
DOC4_DM	52	0	0	0
R1_DM	48	0	0	0
TC1_DM	56	0	0	0
Gypsy6A_LTR	60	0	0	0
DOC3_DM	119	0	0	0
PROTOP	334	0	0	0
G_DM	46	0	0	0
G6_DM	30	0	0	0
TC1-2_DM	56	0	0	0
Transib5	33	0	0	0
Copia2_LTR_DM	14	0	0	0
HELENA_RT	26	0	0	0
Invader3_LTR	29	0	0	0
TRANSIB1	20	0	0	0
Invader4_I	14	0	0	0
TRANSIB2	53	0	0	0
Invader3_I	35	0	0	0
Invader2_LTR	47	0	0	0
