TE,Female,Male
mdg1#LTR/Gypsy,0.0032232070910556,0.0014921323928377645
gypsy#LTR/Gypsy,0.0008058017727639,0.0031199131850244166
copia#LTR/Copia,0.10556003223207092,0.033233857840477485
Bari1#DNA/Tc1-Mariner,0.0008058017727639,0.00013564839934888768
jockey#LINE/Jockey,0.0056406124093473006,0.0052902875746066195
17.6#LTR/Gypsy,0.0032232070910556,0.013022246337493217
R1A1-element#LINE/R1,0.0016116035455278,0.00013564839934888768
Cr1a#LINE/CR1,0.004834810636583401,0.004612045577862181
TAHRE#LINE/Jockey,0.0032232070910556,0.018312533912099836
Helitron#RC/Helitron,0.0008058017727639,0.0
gypsy7#LTR/Gypsy,0.0008058017727639,0.00013564839934888768
G5A#LINE/Jockey,0.012087026591458501,0.029435702658708627
invader5#LTR/Gypsy,0.0008058017727639,0.00013564839934888768
FB#DNA/Tc1-Mariner,0.012087026591458501,0.002577319587628866
invader4#LTR/Gypsy,0.0008058017727639,0.0010851871947911015
Max-element#LTR/Bel-Pao,0.011281224818694601,0.010173629951166576
Dm88#LTR/Copia,0.0016116035455278,0.00176342919153554
Doc#LINE/Jockey,0.004834810636583401,0.01804123711340206
gypsy10#LTR/Gypsy,0.0016116035455278,0.09373304395008139
invader1#LTR/Gypsy,0.0032232070910556,0.012479652740097666
Tom1#LTR/Gypsy,0.20306204673650283,0.018583830710797614
HB#DNA/Tc1-Mariner,0.0024174053182917004,0.008681497558328812
flea#LTR/Gypsy,0.0056406124093473006,0.006782419967444384
Stalker2#LTR/Gypsy,0.023368251410153102,0.0010851871947911015
hopper#DNA/Transib,0.0016116035455278,0.0027129679869777536
pogo#DNA/Tc1-Mariner,0.19742143432715553,0.008681497558328812
Porto1#LINE/Jockey,0.0032232070910556,0.00013564839934888768
invader6#LTR/Gypsy,0.0040290088638195,0.0014921323928377645
Ivk#LINE/I,0.0040290088638195,0.0008138903960933261
G-element#LINE/Jockey,0.0008058017727639,0.00013564839934888768
X-element#LINE/Jockey,0.0008058017727639,0.0023060227889310906
Rt1c#LINE/R1,0.0024174053182917004,0.004747693977211069
297#LTR/Gypsy,0.004834810636583401,0.00583288117200217
rover#LTR/Gypsy,0.0008058017727639,0.0016277807921866521
S2#DNA/Tc1-Mariner,0.0056406124093473006,0.003391209983722192
transib3#DNA/Transib,0.029814665592264304,0.0018990775908844276
Burdock#LTR/Gypsy,0.0016116035455278,0.009766684753119913
rooA#LTR/Bel-Pao,0.022562449637389202,0.0016277807921866521
Tc1-2#DNA/Tc1-Mariner,0.023368251410153102,0.0032555615843733042
transib2#DNA/Transib,0.0008058017727639,0.024823657080846447
baggins#LINE/Loa,0.0024174053182917004,0.0032555615843733042
Tc1#DNA/Tc1-Mariner,0.008863819500402902,0.002170374389582203
McClintock#LTR/Gypsy,0.0016116035455278,0.0006782419967444384
Xanthias#LTR/Copia,0.0016116035455278,0.004476397178513294
accord#LTR/Gypsy,0.0040290088638195,0.0009495387954422138
S-element#DNA/Tc1-Mariner,0.0056406124093473006,0.002170374389582203
gypsy3#LTR/Gypsy,0.0008058017727639,0.0
mariner2#DNA/Tc1-Mariner,0.0040290088638195,0.02170374389582203
gypsy2#LTR/Gypsy,0.0040290088638195,0.0013564839934888768
gtwin#LTR/Gypsy,0.0024174053182917004,0.00013564839934888768
G5#LINE/Jockey,0.0008058017727639,0.0027129679869777536
gypsy12#LTR/Gypsy,0.0136986301369863,0.00583288117200217
Doc3-element#LINE/Jockey,0.0136986301369863,0.008681497558328812
accord2#LTR/Gypsy,0.0056406124093473006,0.0013564839934888768
G3#LINE/Jockey,0.0016116035455278,0.004069451980466631
gypsy6#LTR/Gypsy,0.0016116035455278,0.0010851871947911015
diver2#LTR/Bel-Pao,0.0008058017727639,0.005154639175257732
