TE,Female,Male
Tc3#DNA/Tc1-Mariner,0.000542814493146967,0.0
1731#LTR/Copia,0.005292441308182928,0.0
mdg3#LTR/Gypsy,0.0008142217397204505,0.0
mdg1#LTR/Gypsy,0.0014927398561541594,0.0032388663967611335
gypsy#LTR/Gypsy,0.0031211833355950605,0.0008097165991902834
copia#LTR/Copia,0.03324738770525173,0.10607287449392712
Bari1#DNA/Tc1-Mariner,0.00013570362328674176,0.0008097165991902834
jockey#LINE/Jockey,0.005292441308182928,0.005668016194331984
17.6#LTR/Gypsy,0.013027547835527209,0.0032388663967611335
R1A1-element#LINE/R1,0.00013570362328674176,0.0016194331983805667
Cr1a#LINE/CR1,0.00461392319174922,0.004858299595141701
TAHRE#LINE/Jockey,0.018319989143710136,0.0032388663967611335
gypsy8#LTR/Gypsy,0.002578368842448093,0.0
gypsy7#LTR/Gypsy,0.00013570362328674176,0.0008097165991902834
G5A#LINE/Jockey,0.02944768625322296,0.012145748987854251
invader5#LTR/Gypsy,0.00013570362328674176,0.0008097165991902834
ZAM#LTR/Gypsy,0.005021034061609445,0.0
FB#DNA/Tc1-Mariner,0.002578368842448093,0.012145748987854251
G4#LINE/Jockey,0.013434658705387435,0.0
invader4#LTR/Gypsy,0.001085628986293934,0.0008097165991902834
Max-element#LTR/Bel-Pao,0.010177771746505632,0.011336032388663968
3S18#LTR/Bel-Pao,0.004342515945175736,0.0
frogger#LTR/Copia,0.005835255801329896,0.0
Dm88#LTR/Copia,0.0017641471027276428,0.0016194331983805667
GATE#LTR/Bel-Pao,0.0031211833355950605,0.0
Doc#LINE/Jockey,0.018048581897136654,0.004858299595141701
gypsy10#LTR/Gypsy,0.09363550006785182,0.0016194331983805667
invader1#LTR/Gypsy,0.012484733342380242,0.0032388663967611335
Tom1#LTR/Gypsy,0.018319989143710136,0.19919028340080971
HB#DNA/Tc1-Mariner,0.008685031890351472,0.0024291497975708503
flea#LTR/Gypsy,0.006785181164337088,0.005668016194331984
BS3#LINE/Jockey,0.003935405075315511,0.0
NOF#DNA/MuDR,0.000542814493146967,0.0
Stalker2#LTR/Gypsy,0.001085628986293934,0.02348178137651822
hopper#DNA/Transib,0.002714072465734835,0.0016194331983805667
pogo#DNA/Tc1-Mariner,0.008685031890351472,0.19838056680161945
Porto1#LINE/Jockey,0.00013570362328674176,0.0032388663967611335
invader6#LTR/Gypsy,0.0014927398561541594,0.004048582995951417
Ivk#LINE/I,0.0008142217397204505,0.004048582995951417
invader3#LTR/Gypsy,0.00040711086986022527,0.0
Fw3#LINE/Jockey,0.006920884787623829,0.0
G-element#LINE/Jockey,0.00013570362328674176,0.0008097165991902834
X-element#LINE/Jockey,0.00230696159587461,0.0008097165991902834
Rt1c#LINE/R1,0.004749626815035961,0.0024291497975708503
297#LTR/Gypsy,0.005835255801329896,0.004858299595141701
gypsy4#LTR/Gypsy,0.0006785181164337087,0.0
rover#LTR/Gypsy,0.001628443479440901,0.0008097165991902834
S2#DNA/Tc1-Mariner,0.003392590582168544,0.005668016194331984
R1-2#LINE/R1,0.00461392319174922,0.0
transib3#DNA/Transib,0.0018998507260143845,0.029959514170040485
Burdock#LTR/Gypsy,0.009770660876645406,0.0016194331983805667
gypsy9#LTR/Gypsy,0.005021034061609445,0.0
rooA#LTR/Bel-Pao,0.001628443479440901,0.022672064777327937
G2#LINE/Jockey,0.0017641471027276428,0.0
Tc1-2#DNA/Tc1-Mariner,0.003256886958881802,0.02348178137651822
transib2#DNA/Transib,0.02483376306147374,0.0008097165991902834
baggins#LINE/Loa,0.003256886958881802,0.0024291497975708503
Tc1#DNA/Tc1-Mariner,0.002171257972587868,0.008906882591093117
McClintock#LTR/Gypsy,0.0006785181164337087,0.0016194331983805667
Xanthias#LTR/Copia,0.004478219568462478,0.0016194331983805667
accord#LTR/Gypsy,0.0009499253630071922,0.004048582995951417
