ID,Family,SuperFamily,SubClass,Female,Male,Female_Ratio,Male_Ratio,Female_subject_coverage,Male_subject_coverage
Baggins1#LINE/R1-LOA,Baggins1,R1-LOA,LINE,3,21,0.0022371364653243847,0.0025919526042952356,0.08955315117060945,0.09697588920035281
BARI_DM#DNA/TcMar-Tc1,BARI_DM,TcMar-Tc1,DNA,1,1,0.0007457121551081282,0.00012342631449024932,0.7569444444444444,0.17476851851851852
BS#LINE/I-Jockey,BS,I-Jockey,LINE,4,8,0.002982848620432513,0.0009874105159219946,0.04291845493562232,0.2786041747951619
BS2#LINE/I-Jockey,BS2,I-Jockey,LINE,1,17,0.0007457121551081282,0.0020982473463342383,0.13175174751112054,0.2610862603885019
CIRCE#LTR/Gypsy,CIRCE,Gypsy,LTR,3,39,0.0022371364653243847,0.004813626265119724,0.08123557793161318,0.0990503622662213
DM412#LTR/Gypsy,DM412,Gypsy,LTR,12,12,0.008948545861297539,0.0014811157738829918,0.0786243631310792,0.13811692656065053
DM412B_LTR#LTR/Gypsy,DM412B_LTR,Gypsy,LTR,4,20,0.002982848620432513,0.0024685262898049864,0.2513134851138354,0.381260945709282
DMCR1A#LINE/CR1,DMCR1A,CR1,LINE,6,34,0.0044742729306487695,0.004196494692668477,0.06953765846383296,0.13920252664824323
DMRT1A#LINE/R1,DMRT1A,R1,LINE,7,38,0.005219985085756898,0.004690199950629474,0.043741903475648415,0.09123957878489385
DMRT1B#LINE/R1,DMRT1B,R1,LINE,1,45,0.0007457121551081282,0.00555418415206122,0.8448774840825777,0.5938131069522157
DMRT1C#LINE/R1,DMRT1C,R1,LINE,3,36,0.0022371364653243847,0.004443347321648976,0.14305836242268358,0.29256231245024195
DNAREP1_DM#RC/Helitron,DNAREP1_DM,Helitron,RC,41,114,0.030574198359433258,0.014070599851888422,0.7366346390736633,0.8042117077204789
DOC#LINE/I-Jockey,DOC,I-Jockey,LINE,6,136,0.0044742729306487695,0.016785978770673907,0.05202821869488536,0.13117024587612827
DOC2_DM#LINE/I-Jockey,DOC2_DM,I-Jockey,LINE,1,26,0.0007457121551081282,0.0032090841767464825,0.1454204047569372,0.29037538718323197
DOC3_DM#LINE/I-Jockey,DOC3_DM,I-Jockey,LINE,17,60,0.01267710663683818,0.00740557886941496,0.13148423926532637,0.4469444444444441
DOC5_DM#LINE/I-Jockey,DOC5_DM,I-Jockey,LINE,4,1,0.002982848620432513,0.00012342631449024932,0.24257795813754807,0.2864160615121743
DOC6_DM#LINE/I-Jockey,DOC6_DM,I-Jockey,LINE,3,63,0.0022371364653243847,0.007775857812885707,0.3900994789199432,0.052164399630055716
FB4_DM#DNA/TcMar-Tc1,FB4_DM,TcMar-Tc1,DNA,20,93,0.014914243102162566,0.011478647247593187,0.13521643433602343,0.23253838649195202
G3_DM#LINE/I-Jockey,G3_DM,I-Jockey,LINE,2,31,0.0014914243102162564,0.003826215749197729,0.08143322475570033,0.14523484291268257
G5A_DM#LINE/I-Jockey,G5A_DM,I-Jockey,LINE,16,220,0.011931394481730051,0.02715378918785485,0.18899553571428573,0.3231737012987013
G5_DM#LINE/I-Jockey,G5_DM,I-Jockey,LINE,1,20,0.0007457121551081282,0.0024685262898049864,0.0792833607907743,0.2080518945634267
G_DM#LINE/I-Jockey,G_DM,I-Jockey,LINE,2,0,0.0014914243102162564,0.0,0.05234698573400828,0.0
Gypsy12A_LTR#LTR/Gypsy,Gypsy12A_LTR,Gypsy,LTR,2,7,0.0014914243102162564,0.0008639842014317452,0.3028508771929824,0.17562656641604008
HELENA_RT#LINE/I-Jockey,HELENA_RT,I-Jockey,LINE,1,1,0.0007457121551081282,0.00012342631449024932,0.3917995444191344,0.9901290812452543
Helitron1_DM#RC/Helitron,Helitron1_DM,Helitron,RC,1,0,0.0007457121551081282,0.0,0.9946808510638298,0.0
HETA#LINE/I-Jockey,HETA,I-Jockey,LINE,15,1136,0.011185682326621925,0.14021229326092322,0.18846680918708547,0.22137933670101517
HMSBEAGLE_I#LTR/Gypsy,HMSBEAGLE_I,Gypsy,LTR,8,31,0.005965697240865026,0.003826215749197729,0.028220248123755558,0.10661613940780343
HOBO#DNA/hAT-hobo,HOBO,hAT-hobo,DNA,4,11,0.002982848620432513,0.0013576894593927426,0.3005636604774536,0.3419640704123463
I_DM#LINE/I,I_DM,I,LINE,2,6,0.0014914243102162564,0.0007405578869414959,0.16384443617417194,0.14601166108423272
IVK_DM#LINE/I,IVK_DM,I,LINE,5,6,0.0037285607755406414,0.0007405578869414959,0.1168456127360237,0.11464889547081326
LINEJ1_DM#LINE/I-Jockey,LINEJ1_DM,I-Jockey,LINE,7,39,0.005219985085756898,0.004813626265119724,0.07784703839694875,0.14635666518511703
M4DM#DNA/CMC-Transib,M4DM,CMC-Transib,DNA,3,43,0.0022371364653243847,0.00530733152308072,0.21881533101045295,0.40003241228425557
Mariner2_DM#DNA/TcMar-Tc1,Mariner2_DM,TcMar-Tc1,DNA,5,160,0.0037285607755406414,0.01974821031843989,0.5359649122807018,0.6923793859649122
NTS_DM#Satellite/Unknown,NTS_DM,Unknown,Satellite,3,2,0.0022371364653243847,0.00024685262898049864,0.7680555555555556,0.6375
PLACW_DM#DNA/P,PLACW_DM,P,DNA,1,5,0.0007457121551081282,0.0006171315724512466,0.6010752688172043,0.15698924731182795
POGO#DNA/TcMar-Pogo,POGO,TcMar-Pogo,DNA,244,45,0.1819537658463833,0.00555418415206122,0.7755640318130181,0.8220022002200222
POGON1#DNA/TcMar-Pogo,POGON1,TcMar-Pogo,DNA,3,21,0.0022371364653243847,0.0025919526042952356,0.8351254480286738,0.9503328213005634
PROTOP#DNA/P,PROTOP,P,DNA,8,69,0.005965697240865026,0.008516415699827203,0.3821428571428572,0.14868982919254664
PROTOP_A#DNA/P,PROTOP_A,P,DNA,12,21,0.008948545861297539,0.0025919526042952356,0.26621417797888386,0.41878905408317174
PROTOP_B#DNA/P,PROTOP_B,P,DNA,6,7,0.0044742729306487695,0.0008639842014317452,0.5985834056085574,0.6166522116218561
R1_DM#LINE/R1,R1_DM,R1,LINE,3,1,0.0022371364653243847,0.00012342631449024932,0.10461787403534976,0.43297236743838685
SAR_DM#Satellite/Unknown,SAR_DM,Unknown,Satellite,1,19,0.0007457121551081282,0.002345099975314737,0.2751358695652174,0.5117276887871852
S_DM#DNA/TcMar-Tc1,S_DM,TcMar-Tc1,DNA,11,36,0.00820283370618941,0.004443347321648976,0.33452031839128615,0.2612167178699438
TAHRE#LINE/I-Jockey,TAHRE,I-Jockey,LINE,6,670,0.0044742729306487695,0.08269563070846704,0.09998725668227722,0.21209336096921508
TART-A#LINE/I-Jockey,TART-A,I-Jockey,LINE,20,552,0.014914243102162566,0.06813132559861762,0.15735747303543918,0.2752855563743553
TART_B1#LINE/I-Jockey,TART_B1,I-Jockey,LINE,12,352,0.008948545861297539,0.043446062700567764,0.29892528627745446,0.2735973577998878
